fecha_hora,pozo_id,equipo_id,tipo_lodo,viscosidad_funnel,densidad_lpg,caudal_gpm,malla_api
2026-05-01 00:00:00,PZ-001,EQ-001,OBM,49.0,12.6,625.8,170
2026-05-01 06:00:00,PZ-001,EQ-001,OBM,60.3,9.1,818.2,140
2026-05-01 12:00:00,PZ-001,EQ-001,WBM,50.4,10.7,675.8,200
2026-05-01 18:00:00,PZ-001,EQ-001,WBM,80.9,10.8,664.4,140
2026-05-02 00:00:00,PZ-001,EQ-001,WBM,65.5,9.2,763.3,200
2026-05-02 06:00:00,PZ-001,EQ-001,OBM,66.9,15.5,348.7,200
2026-05-02 12:00:00,PZ-001,EQ-001,WBM,57.5,10.9,755.8,140
2026-05-02 18:00:00,PZ-001,EQ-001,OBM,52.4,11.1,390.9,100
2026-05-03 00:00:00,PZ-001,EQ-001,OBM,48.9,9.0,748.5,100
2026-05-03 06:00:00,PZ-001,EQ-001,OBM,67.3,15.5,658.1,200
2026-05-03 12:00:00,PZ-001,EQ-001,OBM,54.9,9.4,471.0,230
2026-05-03 18:00:00,PZ-001,EQ-001,OBM,79.9,12.3,365.8,170
2026-05-04 00:00:00,PZ-001,EQ-001,OBM,74.7,12.5,587.5,140
2026-05-04 06:00:00,PZ-001,EQ-001,WBM,41.4,13.5,472.9,200
2026-05-04 12:00:00,PZ-001,EQ-001,WBM,58.5,14.3,425.8,170
2026-05-04 18:00:00,PZ-001,EQ-001,OBM,68.1,11.1,358.0,200
2026-05-05 00:00:00,PZ-001,EQ-001,WBM,80.2,12.8,744.1,200
2026-05-05 06:00:00,PZ-001,EQ-001,OBM,52.2,13.5,300.3,230
2026-05-05 12:00:00,PZ-001,EQ-001,WBM,63.0,11.9,422.2,170
2026-05-05 18:00:00,PZ-001,EQ-001,WBM,47.6,10.5,607.0,200
2026-05-06 00:00:00,PZ-001,EQ-001,OBM,83.3,10.8,573.5,100
2026-05-06 06:00:00,PZ-001,EQ-001,OBM,52.0,15.8,526.1,230
2026-05-06 12:00:00,PZ-001,EQ-001,OBM,70.6,12.7,546.3,200
2026-05-06 18:00:00,PZ-001,EQ-001,WBM,50.9,14.6,558.7,140
2026-05-07 00:00:00,PZ-001,EQ-001,OBM,44.1,14.8,476.4,230
2026-05-07 06:00:00,PZ-001,EQ-001,WBM,49.9,14.0,745.2,200
2026-05-07 12:00:00,PZ-001,EQ-001,WBM,71.1,11.7,815.2,100
2026-05-07 18:00:00,PZ-001,EQ-001,OBM,49.4,12.8,682.7,200
2026-05-08 00:00:00,PZ-001,EQ-001,OBM,63.2,10.8,847.9,200
2026-05-08 06:00:00,PZ-001,EQ-001,OBM,48.5,11.0,685.2,170
2026-05-08 12:00:00,PZ-001,EQ-001,OBM,79.9,15.0,814.6,200
2026-05-08 18:00:00,PZ-001,EQ-001,OBM,40.4,9.7,664.9,230
2026-05-09 00:00:00,PZ-001,EQ-001,WBM,61.9,12.1,847.0,200
